Metric,Value
Demographic Parity Difference,0.024747072455370014
Equalized Odds Difference,0.03131297617551651
Disparate Impact Ratio,0.7310295563900507
Male Approval Rate,0.09200666111573688
Female Approval Rate,0.06725958866036687
Approval Rate Difference,0.024747072455370014
